cycle_id,tooth_type,cutting_edge,metric_name,metric_value
16,side,1,vbmax,0.191
16,side,1,vb_half_ap,0.1732
16,side,1,wear_area,0.1051
16,side,2,vbmax,0.2269
16,side,2,vb_half_ap,0.2149
16,side,2,wear_area,0.13219999999999998
16,side,3,vbmax,0.2331
16,side,3,vb_half_ap,0.2152
16,side,3,wear_area,0.1308
16,side,4,vbmax,0.2383
16,side,4,vb_half_ap,0.1616
16,side,4,wear_area,0.1371
17,side,1,vbmax,0.1911
17,side,1,vb_half_ap,0.1791
17,side,1,wear_area,0.1225
17,side,2,vbmax,0.228
17,side,2,vb_half_ap,0.2209
17,side,2,wear_area,0.1492
17,side,3,vbmax,0.2346
17,side,3,vb_half_ap,0.2269
17,side,3,wear_area,0.1391
17,side,4,vbmax,0.239
17,side,4,vb_half_ap,0.1735
17,side,4,wear_area,0.15009999999999998
18,side,1,vbmax,0.197
18,side,1,vb_half_ap,0.185
18,side,1,wear_area,0.1359
18,side,2,vbmax,0.2328
18,side,2,vb_half_ap,0.2211
18,side,2,wear_area,0.1605
18,side,3,vbmax,0.2387
18,side,3,vb_half_ap,0.2328
18,side,3,wear_area,0.1453
18,side,4,vbmax,0.245
18,side,4,vb_half_ap,0.1845
18,side,4,wear_area,0.1604
19,side,1,vbmax,0.2029
19,side,1,vb_half_ap,0.191
19,side,1,wear_area,0.1431
19,side,2,vbmax,0.2328
19,side,2,vb_half_ap,0.2269
19,side,2,wear_area,0.1775
19,side,3,vbmax,0.248
19,side,3,vb_half_ap,0.2447
19,side,3,wear_area,0.1516
19,side,4,vbmax,0.2507
19,side,4,vb_half_ap,0.203
19,side,4,wear_area,0.1654
20,side,1,vbmax,0.2352
20,side,1,vb_half_ap,0.2208
20,side,1,wear_area,0.1446
20,side,2,vbmax,0.2328
20,side,2,vb_half_ap,0.2281
20,side,2,wear_area,0.20550000000000002
20,side,3,vbmax,0.2746
20,side,3,vb_half_ap,0.2569
20,side,3,wear_area,0.1585
20,side,4,vbmax,0.2865
20,side,4,vb_half_ap,0.2387
20,side,4,wear_area,0.18259999999999998
21,side,1,vbmax,0.2152
21,side,1,vb_half_ap,0.1672
21,side,1,wear_area,0.0608
21,side,2,vbmax,0.2065
21,side,2,vb_half_ap,0.197
21,side,2,wear_area,0.269
21,side,3,vbmax,0.2751
21,side,3,vb_half_ap,0.2686
21,side,3,wear_area,0.0844
21,side,4,vbmax,0.2089
21,side,4,vb_half_ap,0.2089
21,side,4,wear_area,0.0963
22,side,1,vbmax,0.216
22,side,1,vb_half_ap,0.1911
22,side,1,wear_area,0.0618
22,side,2,vbmax,0.2175
22,side,2,vb_half_ap,0.2089
22,side,2,wear_area,0.2237
22,side,3,vbmax,0.197
22,side,3,vb_half_ap,0.1971
22,side,3,wear_area,0.09490000000000001
22,side,4,vbmax,0.233
22,side,4,vb_half_ap,0.2166
22,side,4,wear_area,0.09769999999999998
23,side,1,vbmax,0.2566
23,side,1,vb_half_ap,0.2029
23,side,1,wear_area,0.1063
23,side,2,vbmax,0.2268
23,side,2,vb_half_ap,0.2149
23,side,2,wear_area,0.1914
23,side,3,vbmax,0.2188
23,side,3,vb_half_ap,0.2328
23,side,3,wear_area,0.1051
23,side,4,vbmax,0.191
23,side,4,vb_half_ap,0.1911
23,side,4,wear_area,0.053899999999999997
24,side,1,vbmax,0.2665
24,side,1,vb_half_ap,0.2145
24,side,1,wear_area,0.1069
24,side,2,vbmax,0.2686
24,side,2,vb_half_ap,0.236
24,side,2,wear_area,0.22060000000000002
24,side,3,vbmax,0.203
24,side,3,vb_half_ap,0.197
24,side,3,wear_area,0.10590000000000002
24,side,4,vbmax,0.209
24,side,4,vb_half_ap,0.2148
24,side,4,wear_area,0.07339999999999999
25,side,1,vbmax,0.2668
25,side,1,vb_half_ap,0.2165
25,side,1,wear_area,0.1149
25,side,2,vbmax,0.203
25,side,2,vb_half_ap,0.1672
25,side,2,wear_area,0.1683
25,side,3,vbmax,0.1854
25,side,3,vb_half_ap,0.1854
25,side,3,wear_area,0.09740000000000001
25,side,4,vbmax,0.185
25,side,4,vb_half_ap,0.179
25,side,4,wear_area,0.052399999999999995
26,side,1,vbmax,0.2735
26,side,1,vb_half_ap,0.2268
26,side,1,wear_area,0.13190000000000002
26,side,2,vbmax,0.2149
26,side,2,vb_half_ap,0.179
26,side,2,wear_area,0.21710000000000002
26,side,3,vbmax,0.1901
26,side,3,vb_half_ap,0.1887
26,side,3,wear_area,0.1106
26,side,4,vbmax,0.1901
26,side,4,vb_half_ap,0.1806
26,side,4,wear_area,0.052700000000000004
27,side,1,vbmax,0.2748
27,side,1,vb_half_ap,0.2368
27,side,1,wear_area,0.135
27,side,2,vbmax,0.2509
27,side,2,vb_half_ap,0.186
27,side,2,wear_area,0.2424
27,side,3,vbmax,0.193
27,side,3,vb_half_ap,0.1854
27,side,3,wear_area,0.1119
27,side,4,vbmax,0.1911
27,side,4,vb_half_ap,0.1815
27,side,4,wear_area,0.057100000000000005
28,side,1,vbmax,0.2371
28,side,1,vb_half_ap,0.2509
28,side,1,wear_area,0.1371
28,side,2,vbmax,0.2712
28,side,2,vb_half_ap,0.1911
28,side,2,wear_area,0.2561
28,side,3,vbmax,0.2148
28,side,3,vb_half_ap,0.203
28,side,3,wear_area,0.1134
28,side,4,vbmax,0.2149
28,side,4,vb_half_ap,0.2066
28,side,4,wear_area,0.058199999999999995
29,side,1,vbmax,0.2548
29,side,1,vb_half_ap,0.2518
29,side,1,wear_area,0.1401
29,side,2,vbmax,0.281
29,side,2,vb_half_ap,0.1936
29,side,2,wear_area,0.2576
29,side,3,vbmax,0.2318
29,side,3,vb_half_ap,0.2059
29,side,3,wear_area,0.1154
29,side,4,vbmax,0.2152
29,side,4,vb_half_ap,0.2091
29,side,4,wear_area,0.061099999999999995
